decoder,distance,p,rounds,noise_model,basis,shots,errors,discards,logical_error_rate,ci_low,ci_high
pymatching,3,0.002,3,stim_uniform_circuit_level,z,99601,301,0,0.003022058,0.0026906946,0.0033828641
pymatching,3,0.004,3,stim_uniform_circuit_level,z,23825,301,0,0.012633788,0.011254296,0.014133991
pymatching,3,0.006,3,stim_uniform_circuit_level,z,14609,302,0,0.020672188,0.018426553,0.023111439
pymatching,3,0.008,3,stim_uniform_circuit_level,z,8465,343,0,0.040519787,0.036419221,0.044940322
pymatching,3,0.01,3,stim_uniform_circuit_level,z,5393,343,0,0.063600964,0.057232577,0.070446413
pymatching,3,0.012000000000000002,3,stim_uniform_circuit_level,z,4369,312,0,0.071412222,0.063950454,0.079452846
pymatching,3,0.014000000000000002,3,stim_uniform_circuit_level,z,3345,341,0,0.1019432,0.091891291,0.11269687
pymatching,3,0.016,3,stim_uniform_circuit_level,z,3345,401,0,0.11988042,0.10905911,0.13137101
pymatching,3,0.018000000000000002,3,stim_uniform_circuit_level,z,2321,326,0,0.1404567,0.1265661,0.15526142
pymatching,3,0.020000000000000004,3,stim_uniform_circuit_level,z,2321,410,0,0.176648,0.16133294,0.19278373
pymatching,5,0.002,5,stim_uniform_circuit_level,z,306722,332,0,0.0010824134,0.00096915284,0.0012052634
pymatching,5,0.004,5,stim_uniform_circuit_level,z,42257,305,0,0.0072177391,0.0064328147,0.0080714676
pymatching,5,0.006,5,stim_uniform_circuit_level,z,13585,303,0,0.022304012,0.019886743,0.024928776
pymatching,5,0.008,5,stim_uniform_circuit_level,z,6417,339,0,0.052828424,0.047481728,0.058585971
pymatching,5,0.01,5,stim_uniform_circuit_level,z,4369,374,0,0.085603113,0.077471751,0.09429331
pymatching,5,0.012000000000000002,5,stim_uniform_circuit_level,z,2321,308,0,0.13270142,0.11915438,0.14718274
pymatching,5,0.014000000000000002,5,stim_uniform_circuit_level,z,2321,397,0,0.17104696,0.15593497,0.18699404
pymatching,5,0.016,5,stim_uniform_circuit_level,z,2321,496,0,0.21370099,0.19717852,0.2309492
pymatching,5,0.018000000000000002,5,stim_uniform_circuit_level,z,1297,335,0,0.25828836,0.23465221,0.28302502
pymatching,5,0.020000000000000004,5,stim_uniform_circuit_level,z,1297,409,0,0.3153431,0.29011239,0.34141354
pymatching,7,0.002,7,stim_uniform_circuit_level,z,1214600,323,0,0.00026593117,0.00023772072,0.00029656778
pymatching,7,0.004,7,stim_uniform_circuit_level,z,98372,413,0,0.0041983491,0.0038038912,0.0046224652
pymatching,7,0.006,7,stim_uniform_circuit_level,z,15633,307,0,0.019637945,0.017520657,0.021936528
pymatching,7,0.008,7,stim_uniform_circuit_level,z,6417,333,0,0.051893408,0.046593109,0.057605479
pymatching,7,0.01,7,stim_uniform_circuit_level,z,3345,375,0,0.11210762,0.10160895,0.12328962
pymatching,7,0.012000000000000002,7,stim_uniform_circuit_level,z,2321,379,0,0.16329168,0.14847078,0.17896765
pymatching,7,0.014000000000000002,7,stim_uniform_circuit_level,z,1297,331,0,0.25520432,0.2316685,0.27985477
pymatching,7,0.016,7,stim_uniform_circuit_level,z,1297,401,0,0.30917502,0.2840941,0.33512381
pymatching,7,0.018000000000000002,7,stim_uniform_circuit_level,z,1297,486,0,0.37471087,0.34829148,0.40169957
pymatching,7,0.020000000000000004,7,stim_uniform_circuit_level,z,1297,521,0,0.40169622,0.37487909,0.42895994
